region,transport_score,housing_score,youth_support_score,farming_support_score,smartfarm_score,medical_score,culture_score,job_score,description,risk_note
나주,5,4,5,4,4,4,4,5,광주와 혁신도시 접근성이 좋아 생활 인프라와 일자리 연계가 강한 지역입니다.,도시권과 가까운 지역은 주거비가 상대적으로 높을 수 있습니다.
담양,4,3,4,4,3,3,5,4,전원생활 선호도가 높고 관광·체험형 창업과 농업을 함께 고려하기 좋습니다.,관광지 인근은 계절별 유동 인구와 임대료 차이를 확인해야 합니다.
장성,4,4,4,4,3,3,4,4,광주 생활권 접근성과 조용한 농촌 환경을 함께 기대할 수 있는 지역입니다.,자가용이 없으면 마을별 대중교통 간격을 자세히 확인해야 합니다.
고흥,2,5,4,5,5,3,3,3,스마트팜과 농업 실습 기반이 강해 농업 창업 후보지로 적합합니다.,교통 접근성이 낮은 편이라 이동 시간과 물류 동선을 확인해야 합니다.
해남,3,5,3,5,4,3,3,3,넓은 농지와 다양한 작목 기반이 있어 본격적인 영농 준비에 유리합니다.,생활권이 넓어 병원·장보기·농지 이동 거리를 실제로 점검해야 합니다.
강진,3,5,3,5,3,3,4,3,주거비 부담이 낮고 농업과 문화 자원을 함께 활용하기 좋은 지역입니다.,청년 일자리 선택지는 제한적일 수 있어 소득 계획이 필요합니다.
보성,3,4,3,5,3,3,4,3,차·특산물 기반 농업과 자연환경이 강점인 조용한 정착 후보지입니다.,작목 선택 전 판로와 가공·유통 지원 여부를 확인해야 합니다.
영암,4,4,4,5,4,3,3,4,농업 기반과 산업단지 일자리 접근을 함께 고려할 수 있는 지역입니다.,거주지에 따라 생활 인프라 체감 차이가 클 수 있습니다.
화순,4,3,4,4,3,5,4,4,광주 접근성과 의료 인프라가 좋아 안정적인 생활 정착에 유리합니다.,광주 인접 지역은 주거비와 통근 수요를 함께 비교해야 합니다.
곡성,2,5,3,4,3,3,4,2,자연환경과 낮은 주거비가 장점이며 조용한 전원생활에 어울립니다.,차량 의존도가 높아 대중교통만으로 생활하기 어려울 수 있습니다.
